"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Biomass","8851.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Energy storage","11009.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Fossil Brown coal/Lignite","15176.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Fossil Coal-derived gas","1915.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Fossil Gas","36681.56",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Fossil Hard coal","15951.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Fossil Oil","6913.83",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Fossil Oil shale","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Fossil Peat","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Geothermal","46.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Hydro Pumped Storage","9383.80",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Hydro Run-of-river and poundage","3923.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Hydro Water Reservoir","1459.78",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Marine","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Nuclear","n/e",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Other","2278.52",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Other renewable","399.67",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Solar","86951.58",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Waste","1887.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Wind Offshore","9215.00",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","Wind Onshore","63403.17",""
"01/01/2025 - 01/01/2026","2025","BZN|DE-LU","","","275444.91"
