"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2025 00:00 - 01/01/2025 00:15","BZN|DE-LU","47667.03","43302.48"
"01/01/2025 00:15 - 01/01/2025 00:30","BZN|DE-LU","47390.29","42905.27"
"01/01/2025 00:30 - 01/01/2025 00:45","BZN|DE-LU","47275.44","42544.53"
"01/01/2025 00:45 - 01/01/2025 01:00","BZN|DE-LU","46980.15","42063.12"
"01/01/2025 01:00 - 01/01/2025 01:15","BZN|DE-LU","46687.66","41830.13"
"01/01/2025 01:15 - 01/01/2025 01:30","BZN|DE-LU","46309.86","41464.16"
"01/01/2025 01:30 - 01/01/2025 01:45","BZN|DE-LU","46082.62","41424.69"
"01/01/2025 01:45 - 01/01/2025 02:00","BZN|DE-LU","45894.49","41352.01"
"01/01/2025 02:00 - 01/01/2025 02:15","BZN|DE-LU","45329.16","41370.87"
"01/01/2025 02:15 - 01/01/2025 02:30","BZN|DE-LU","45311.03","41350.54"
"01/01/2025 02:30 - 01/01/2025 02:45","BZN|DE-LU","44817.70","41082.14"
"01/01/2025 02:45 - 01/01/2025 03:00","BZN|DE-LU","44749.26","41069.94"
"01/01/2025 03:00 - 01/01/2025 03:15","BZN|DE-LU","44161.59","41084.32"
"01/01/2025 03:15 - 01/01/2025 03:30","BZN|DE-LU","44235.59","40854.56"
"01/01/2025 03:30 - 01/01/2025 03:45","BZN|DE-LU","44005.44","41058.76"
"01/01/2025 03:45 - 01/01/2025 04:00","BZN|DE-LU","43788.21","41346.36"
"01/01/2025 04:00 - 01/01/2025 04:15","BZN|DE-LU","44416.46","41683.22"
"01/01/2025 04:15 - 01/01/2025 04:30","BZN|DE-LU","44258.82","41960.81"
"01/01/2025 04:30 - 01/01/2025 04:45","BZN|DE-LU","44218.80","41316.47"
"01/01/2025 04:45 - 01/01/2025 05:00","BZN|DE-LU","44149.71","41509.47"
"01/01/2025 05:00 - 01/01/2025 05:15","BZN|DE-LU","43836.80","41391.26"
"01/01/2025 05:15 - 01/01/2025 05:30","BZN|DE-LU","43598.88","41593.24"
